"QueryType";"Server";"NameHost";"Name";"Type";"CharacterSet";"Section";"DataLength";"TTL"
"CNAME";"sipdir.online.lync.com";"sipdir.online.lync.com";"sip.presentdordrecht.nl";"CNAME";"Unicode";"Answer";"54";"3599"
"A";;;"sipdir.online.lync.com";"A";"Unicode";"Answer";"4";"29"
"CNAME";"sipdir.online.lync.com";"sipdir.online.lync.com";"sip.stichtingpresent.nl";"CNAME";"Unicode";"Answer";"54";"1439"
"A";;;"sipdir.online.lync.com";"A";"Unicode";"Answer";"4";"29"
"CNAME";"sipdir.online.lync.com";"sipdir.online.lync.com";"sip.presenthaarlem.nl";"CNAME";"Unicode";"Answer";"54";"3599"
"A";;;"sipdir.online.lync.com";"A";"Unicode";"Answer";"4";"29"
"CNAME";"sipdir.online.lync.com";"sipdir.online.lync.com";"sip.presentmaassluis.nl";"CNAME";"Unicode";"Answer";"54";"3439"
"A";;;"sipdir.online.lync.com";"A";"Unicode";"Answer";"4";"29"
"CNAME";"sipdir.online.lync.com";"sipdir.online.lync.com";"sip.presentpapendrecht.nl";"CNAME";"Unicode";"Answer";"54";"3599"
"A";;;"sipdir.online.lync.com";"A";"Unicode";"Answer";"4";"29"
"CNAME";"sipdir.online.lync.com";"sipdir.online.lync.com";"sip.presentnederland.nl";"CNAME";"Unicode";"Answer";"54";"1279"
"A";;;"sipdir.online.lync.com";"A";"Unicode";"Answer";"4";"29"
"CNAME";"sipdir.online.lync.com";"sipdir.online.lync.com";"sip.presentdordrecht-papendrecht.nl";"CNAME";"Unicode";"Answer";"54";"3599"
"A";;;"sipdir.online.lync.com";"A";"Unicode";"Answer";"4";"29"
"CNAME";"sipdir.online.lync.com";"sipdir.online.lync.com";"sip.jongpresent.nl";"CNAME";"Unicode";"Answer";"54";"3599"
"A";;;"sipdir.online.lync.com";"A";"Unicode";"Answer";"4";"29"
