"Address";"IPAddress";"QueryType";"IP4Address";"Name";"Type";"CharacterSet";"Section";"DataLength";"TTL"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"presentdordrecht.nl";"A";"Unicode";"Answer";"4";"3599"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"fannoot.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"gezinnenpresent.nl";"A";"Unicode";"Answer";"4";"1254"
"217.119.232.67";"217.119.232.67";"A";"217.119.232.67";"jongpresent.nl";"A";"Unicode";"Answer";"4";"3013"
"99.83.175.80";"99.83.175.80";"A";"99.83.175.80";"nonstoppresent.nl";"A";"Unicode";"Answer";"4";"3599"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"presentaalten-dinxperlo.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"presentachterhoek.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"presentalkmaar.nl";"A";"Unicode";"Answer";"4";"3599"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"presentalmelo.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"presentalmere.nl";"A";"Unicode";"Answer";"4";"1254"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"presentamersfoort.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"presentamsterdam.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"presentapeldoorn.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"presentarnhem.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"presentassen.nl";"A";"Unicode";"Answer";"4";"1254"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"presentbarendrecht.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"presentbarneveld.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"presentbollenstreek.nl";"A";"Unicode";"Answer";"4";"1439"
"185.182.56.61";"185.182.56.61";"A";"185.182.56.61";"presentbreda.nl";"A";"Unicode";"Answer";"4";"14399"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"presentbronckhorst.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"presentculemborg.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"presentdebevelanden.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"presentdefryskemarren.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"presentdelft.nl";"A";"Unicode";"Answer";"4";"1439"
