"QueryType";"Exchange";"NameExchange";"Preference";"Name";"Type";"CharacterSet";"Section";"DataLength";"TTL"
"MX";"presentdordrecht-nl.mail.protection.outlook.com";"presentdordrecht-nl.mail.protection.outlook.com";"0";"presentdordrecht.nl";"MX";"Unicode";"Answer";"112";"3599"
"MX";"mail.fannoot.nl";"mail.fannoot.nl";"10";"fannoot.nl";"MX";"Unicode";"Answer";"48";"855"
"MX";"mail.gezinnenpresent.nl";"mail.gezinnenpresent.nl";"10";"gezinnenpresent.nl";"MX";"Unicode";"Answer";"64";"1439"
"MX";"jongpresent-nl.mail.protection.outlook.com";"jongpresent-nl.mail.protection.outlook.com";"0";"jongpresent.nl";"MX";"Unicode";"Answer";"102";"3599"
"MX";"mx186.m2bp.com";"mx186.m2bp.com";"20";"nonstoppresent.nl";"MX";"Unicode";"Answer";"46";"3599"
"MX";"mx186.mb1p.com";"mx186.mb1p.com";"10";"nonstoppresent.nl";"MX";"Unicode";"Answer";"46";"3599"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentaalten-dinxperlo.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentachterhoek.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"presentalkmaar-nl.mail.protection.outlook.com";"presentalkmaar-nl.mail.protection.outlook.com";"0";"presentalkmaar.nl";"MX";"Unicode";"Answer";"108";"3599"
"MX";"ALT2.ASPMX.L.GOOGLE.COM";"ALT2.ASPMX.L.GOOGLE.COM";"5";"presentalmelo.nl";"MX";"Unicode";"Answer";"64";"1255"
"MX";"ALT4.ASPMX.L.GOOGLE.COM";"ALT4.ASPMX.L.GOOGLE.COM";"10";"presentalmelo.nl";"MX";"Unicode";"Answer";"64";"1255"
"MX";"ALT1.ASPMX.L.GOOGLE.COM";"ALT1.ASPMX.L.GOOGLE.COM";"5";"presentalmelo.nl";"MX";"Unicode";"Answer";"64";"1255"
"MX";"ASPMX.L.GOOGLE.COM";"ASPMX.L.GOOGLE.COM";"1";"presentalmelo.nl";"MX";"Unicode";"Answer";"54";"1255"
"MX";"ALT3.ASPMX.L.GOOGLE.COM";"ALT3.ASPMX.L.GOOGLE.COM";"10";"presentalmelo.nl";"MX";"Unicode";"Answer";"64";"1255"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentalmere.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"presentamersfoort-nl.mail.protection.outlook.com";"presentamersfoort-nl.mail.protection.outlook.com";"0";"presentamersfoort.nl";"MX";"Unicode";"Answer";"114";"1255"
"MX";"presentamsterdam-nl.mail.protection.outlook.com";"presentamsterdam-nl.mail.protection.outlook.com";"10";"presentamsterdam.nl";"MX";"Unicode";"Answer";"112";"1439"
"MX";"presentapeldoorn-nl.mail.protection.outlook.com";"presentapeldoorn-nl.mail.protection.outlook.com";"10";"presentapeldoorn.nl";"MX";"Unicode";"Answer";"112";"1439"
"MX";"presentarnhem-nl.mail.protection.outlook.com";"presentarnhem-nl.mail.protection.outlook.com";"0";"presentarnhem.nl";"MX";"Unicode";"Answer";"106";"1439"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentassen.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"presentbarendrecht-nl.mail.protection.outlook.com";"presentbarendrecht-nl.mail.protection.outlook.com";"10";"presentbarendrecht.nl";"MX";"Unicode";"Answer";"116";"1439"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentbarneveld.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentbollenstreek.nl";"MX";"Unicode";"Answer";"56";"1255"
"MX";"mail.presentbreda.nl";"mail.presentbreda.nl";"10";"presentbreda.nl";"MX";"Unicode";"Answer";"58";"14399"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentbronckhorst.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentculemborg.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentdebevelanden.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"mail.presentdefryskemarren.nl";"mail.presentdefryskemarren.nl";"10";"presentdefryskemarren.nl";"MX";"Unicode";"Answer";"76";"1439"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentdelft.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"presentdenhaag-nl.mail.protection.outlook.com";"presentdenhaag-nl.mail.protection.outlook.com";"50";"presentdenhaag.nl";"MX";"Unicode";"Answer";"108";"1439"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentdenhelder.nl";"MX";"Unicode";"Answer";"56";"1439"
