"QueryType";"Server";"NameHost";"Name";"Type";"CharacterSet";"Section";"DataLength";"TTL"
"NS";"secundairedns.nl";"secundairedns.nl";"presentdordrecht.nl";"NS";"Unicode";"Answer";"42";"3599"
"NS";"ns1-415.axc.nl";"ns1-415.axc.nl";"presentdordrecht.nl";"NS";"Unicode";"Answer";"38";"3599"
"NS";"dns3.hosted.nl";"dns3.hosted.nl";"stichtingpresent.nl";"NS";"Unicode";"Answer";"38";"1439"
"NS";"dns2.hosted.nl";"dns2.hosted.nl";"stichtingpresent.nl";"NS";"Unicode";"Answer";"38";"1439"
"NS";"dns1.hosted.nl";"dns1.hosted.nl";"stichtingpresent.nl";"NS";"Unicode";"Answer";"38";"1439"
"NS";"ns1-415.axc.nl";"ns1-415.axc.nl";"presenthaarlem.nl";"NS";"Unicode";"Answer";"38";"3599"
"NS";"secundairedns.nl";"secundairedns.nl";"presenthaarlem.nl";"NS";"Unicode";"Answer";"42";"3599"
"NS";"ns1-415.axc.nl";"ns1-415.axc.nl";"presentmaassluis.nl";"NS";"Unicode";"Answer";"38";"3599"
"NS";"secundairedns.nl";"secundairedns.nl";"presentmaassluis.nl";"NS";"Unicode";"Answer";"42";"3599"
"NS";"ns1-415.axc.nl";"ns1-415.axc.nl";"presentpapendrecht.nl";"NS";"Unicode";"Answer";"38";"3599"
"NS";"secundairedns.nl";"secundairedns.nl";"presentpapendrecht.nl";"NS";"Unicode";"Answer";"42";"3599"
"NS";"dns1.hosted.nl";"dns1.hosted.nl";"presentnederland.nl";"NS";"Unicode";"Answer";"38";"1439"
"NS";"dns2.hosted.nl";"dns2.hosted.nl";"presentnederland.nl";"NS";"Unicode";"Answer";"38";"1439"
"NS";"dns3.hosted.nl";"dns3.hosted.nl";"presentnederland.nl";"NS";"Unicode";"Answer";"38";"1439"
"NS";"ns1-415.axc.nl";"ns1-415.axc.nl";"presentdordrecht-papendrecht.nl";"NS";"Unicode";"Answer";"38";"3599"
"NS";"secundairedns.nl";"secundairedns.nl";"presentdordrecht-papendrecht.nl";"NS";"Unicode";"Answer";"42";"3599"
"NS";"ns1-415.axc.nl";"ns1-415.axc.nl";"jongpresent.nl";"NS";"Unicode";"Answer";"38";"3599"
"NS";"secundairedns.nl";"secundairedns.nl";"jongpresent.nl";"NS";"Unicode";"Answer";"42";"3599"
"NS";"ns1-415.axc.nl";"ns1-415.axc.nl";"presentdordrecht.nl";"NS";"Unicode";"Answer";"38";"3599"
"NS";"secundairedns.nl";"secundairedns.nl";"presentdordrecht.nl";"NS";"Unicode";"Answer";"42";"3599"
