"QueryType";"Administrator";"PrimaryServer";"NameAdministrator";"SerialNumber";"TimeToZoneRefresh";"TimeToZoneFailureRetry";"TimeToExpiration";"DefaultTTL";"Name";"Type";"CharacterSet";"Section";"DataLength";"TTL"
"SOA";"hostmaster.presentdordrecht.nl";"ns1-415.axc.nl";"hostmaster.presentdordrecht.nl";"2020122800";"3600";"3600";"1209600";"86400";"presentdordrecht.nl";"SOA";"Unicode";"Answer";"132";"3599"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014052900";"14400";"3600";"604800";"3600";"fannoot.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014052900";"14400";"3600";"604800";"3600";"gezinnenpresent.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"hostmaster.jongpresent.nl";"ns1-415.axc.nl";"hostmaster.jongpresent.nl";"2020122401";"3600";"3600";"1209600";"86400";"jongpresent.nl";"SOA";"Unicode";"Answer";"122";"3599"
"SOA";"info.sonexo.nl";"ns1.sonexo.eu";"info.sonexo.nl";"2015110105";"28800";"7200";"604800";"86400";"nonstoppresent.nl";"SOA";"Unicode";"Answer";"98";"21599"
"SOA";"support.hosted.nl";"dns1.hosted.nl";"support.hosted.nl";"2020091400";"14400";"3600";"604800";"3600";"presentaalten-dinxperlo.nl";"SOA";"Unicode";"Answer";"106";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2016062800";"14400";"3600";"604800";"3600";"presentachterhoek.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"hostmaster.presentalkmaar.nl";"ns1-415.axc.nl";"hostmaster.presentalkmaar.nl";"2020122818";"3600";"3600";"1209600";"86400";"presentalkmaar.nl";"SOA";"Unicode";"Answer";"128";"3599"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentalmelo.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentalmere.nl";"SOA";"Unicode";"Answer";"100";"1439"
