"QueryType";"Text";"Strings";"Name";"Type";"CharacterSet";"Section";"DataLength";"TTL"
"TXT";"System.String[]";"System.String[]";"presentdordrecht.nl";"TXT";"Unicode";"Answer";"16";"3599"
"TXT";"System.String[]";"System.String[]";"presentdordrecht.nl";"TXT";"Unicode";"Answer";"16";"3599"
"TXT";"System.String[]";"System.String[]";"stichtingpresent.nl";"TXT";"Unicode";"Answer";"16";"1439"
"TXT";"System.String[]";"System.String[]";"stichtingpresent.nl";"TXT";"Unicode";"Answer";"16";"1439"
"TXT";"System.String[]";"System.String[]";"stichtingpresent.nl";"TXT";"Unicode";"Answer";"16";"1439"
"TXT";"System.String[]";"System.String[]";"presenthaarlem.nl";"TXT";"Unicode";"Answer";"16";"3599"
"TXT";"System.String[]";"System.String[]";"presenthaarlem.nl";"TXT";"Unicode";"Answer";"16";"3599"
"TXT";"System.String[]";"System.String[]";"presentmaassluis.nl";"TXT";"Unicode";"Answer";"16";"3599"
"TXT";"System.String[]";"System.String[]";"presentmaassluis.nl";"TXT";"Unicode";"Answer";"16";"3599"
"TXT";"System.String[]";"System.String[]";"presentpapendrecht.nl";"TXT";"Unicode";"Answer";"16";"3599"
"TXT";"System.String[]";"System.String[]";"presentpapendrecht.nl";"TXT";"Unicode";"Answer";"16";"3599"
"TXT";"System.String[]";"System.String[]";"presentnederland.nl";"TXT";"Unicode";"Answer";"16";"1439"
"TXT";"System.String[]";"System.String[]";"presentdordrecht-papendrecht.nl";"TXT";"Unicode";"Answer";"16";"3599"
"TXT";"System.String[]";"System.String[]";"presentdordrecht-papendrecht.nl";"TXT";"Unicode";"Answer";"16";"3599"
"TXT";"System.String[]";"System.String[]";"jongpresent.nl";"TXT";"Unicode";"Answer";"16";"3599"
"TXT";"System.String[]";"System.String[]";"jongpresent.nl";"TXT";"Unicode";"Answer";"16";"3599"
"TXT";"System.String[]";"System.String[]";"presentdordrecht.nl";"TXT";"Unicode";"Answer";"16";"3599"
"TXT";"System.String[]";"System.String[]";"presentdordrecht.nl";"TXT";"Unicode";"Answer";"16";"3599"
