"QueryType";"Text";"Strings";"Name";"Type";"CharacterSet";"Section";"DataLength";"TTL"
"TXT";"System.String[]";"System.String[]";"_dmarc.presentdordrecht.nl";"TXT";"Unicode";"Answer";"16";"3599"
"TXT";"System.String[]";"System.String[]";"_dmarc.jongpresent.nl";"TXT";"Unicode";"Answer";"16";"3599"
"TXT";"System.String[]";"System.String[]";"_dmarc.presentalkmaar.nl";"TXT";"Unicode";"Answer";"16";"3028"
"TXT";"System.String[]";"System.String[]";"_dmarc.presentamsterdam.nl";"TXT";"Unicode";"Answer";"16";"1260"
"TXT";"System.String[]";"System.String[]";"_dmarc.presentdordrecht.nl";"TXT";"Unicode";"Answer";"16";"3599"
"TXT";"System.String[]";"System.String[]";"_dmarc.presentdordrecht-papendrecht.nl";"TXT";"Unicode";"Answer";"16";"3419"
"TXT";"System.String[]";"System.String[]";"_dmarc.presentenschede.nl";"TXT";"Unicode";"Answer";"16";"1439"
"TXT";"System.String[]";"System.String[]";"_dmarc.presentgouda.nl";"TXT";"Unicode";"Answer";"16";"3599"
"TXT";"System.String[]";"System.String[]";"_dmarc.presentgroningen.nl";"TXT";"Unicode";"Answer";"16";"3420"
"TXT";"System.String[]";"System.String[]";"_dmarc.presenthaarlem.nl";"TXT";"Unicode";"Answer";"16";"3599"
"TXT";"System.String[]";"System.String[]";"_dmarc.presentmaassluis.nl";"TXT";"Unicode";"Answer";"16";"3599"
"TXT";"System.String[]";"System.String[]";"_dmarc.presentnwf.nl";"TXT";"Unicode";"Answer";"16";"3599"
"TXT";"System.String[]";"System.String[]";"_dmarc.presentpapendrecht.nl";"TXT";"Unicode";"Answer";"16";"3027"
"TXT";"System.String[]";"System.String[]";"_dmarc.presentsteenwijkerland.nl";"TXT";"Unicode";"Answer";"16";"3599"
"TXT";"System.String[]";"System.String[]";"_dmarc.presentterneuzen.nl";"TXT";"Unicode";"Answer";"16";"3599"
"TXT";"System.String[]";"System.String[]";"_dmarc.presentwoerden.nl";"TXT";"Unicode";"Answer";"16";"3599"
