"QueryType";"Target";"NameTarget";"Priority";"Weight";"Port";"Name";"Type";"CharacterSet";"Section";"DataLength";"TTL"
"SRV";"sipdir.online.lync.com";"sipdir.online.lync.com";"100";"1";"443";"_sip._tls.presentdordrecht.nl";"SRV";"Unicode";"Answer";"62";"3599"
"SRV";"sipdir.online.lync.com";"sipdir.online.lync.com";"100";"1";"443";"_sip._tls.jongpresent.nl";"SRV";"Unicode";"Answer";"62";"3599"
"SRV";"sipdir.online.lync.com";"sipdir.online.lync.com";"100";"1";"443";"_sip._tls.presentalkmaar.nl";"SRV";"Unicode";"Answer";"62";"3599"
"SRV";"sipdir.online.lync.com";"sipdir.online.lync.com";"100";"1";"443";"_sip._tls.presentamersfoort.nl";"SRV";"Unicode";"Answer";"62";"1439"
"SRV";"sipdir.online.lync.com";"sipdir.online.lync.com";"100";"1";"443";"_sip._tls.presentapeldoorn.nl";"SRV";"Unicode";"Answer";"62";"1439"
"SRV";"sipdir.online.lync.com";"sipdir.online.lync.com";"100";"1";"443";"_sip._tls.presentarnhem.nl";"SRV";"Unicode";"Answer";"62";"1439"
"SRV";"sipdir.online.lync.com";"sipdir.online.lync.com";"100";"1";"443";"_sip._tls.presentbarendrecht.nl";"SRV";"Unicode";"Answer";"62";"1439"
"SRV";"sipdir.online.lync.com";"sipdir.online.lync.com";"100";"1";"443";"_sip._tls.presentdordrecht.nl";"SRV";"Unicode";"Answer";"62";"3598"
"SRV";"sipdir.online.lync.com";"sipdir.online.lync.com";"100";"1";"443";"_sip._tls.presentdordrecht-papendrecht.nl";"SRV";"Unicode";"Answer";"62";"3599"
"SRV";"sipdir.online.lync.com";"sipdir.online.lync.com";"100";"1";"443";"_sip._tls.presentenschede.nl";"SRV";"Unicode";"Answer";"62";"1439"
"SRV";"sipdir.online.lync.com";"sipdir.online.lync.com";"100";"1";"443";"_sip._tls.presentgouda.nl";"SRV";"Unicode";"Answer";"62";"3599"
"SRV";"sipdir.online.lync.com";"sipdir.online.lync.com";"100";"1";"443";"_sip._tls.presentgroningen.nl";"SRV";"Unicode";"Answer";"62";"3599"
"SRV";"sipdir.online.lync.com";"sipdir.online.lync.com";"100";"1";"443";"_sip._tls.presenthaarlem.nl";"SRV";"Unicode";"Answer";"62";"3599"
"SRV";"sipdir.online.lync.com";"sipdir.online.lync.com";"100";"1";"443";"_sip._tls.presentheerhugowaard-langedijk.nl";"SRV";"Unicode";"Answer";"62";"1439"
"SRV";"sipdir.online.lync.com";"sipdir.online.lync.com";"100";"1";"443";"_sip._tls.presentkampen.nl";"SRV";"Unicode";"Answer";"62";"1439"
"SRV";"sipdir.online.lync.com";"sipdir.online.lync.com";"100";"1";"443";"_sip._tls.presentmaassluis.nl";"SRV";"Unicode";"Answer";"62";"3599"
"SRV";"sipdir.online.lync.com";"sipdir.online.lync.com";"100";"1";"443";"_sip._tls.presentnederland.nl";"SRV";"Unicode";"Answer";"62";"1439"
"SRV";"sipdir.online.lync.com";"sipdir.online.lync.com";"100";"1";"443";"_sip._tls.presentnijmegen.nl";"SRV";"Unicode";"Answer";"62";"1439"
"SRV";"sipdir.online.lync.com";"sipdir.online.lync.com";"100";"1";"443";"_sip._tls.presentnwf.nl";"SRV";"Unicode";"Answer";"62";"3599"
"SRV";"sipdir.online.lync.com";"sipdir.online.lync.com";"100";"1";"443";"_sip._tls.presentpapendrecht.nl";"SRV";"Unicode";"Answer";"62";"3599"
"SRV";"sipdir.online.lync.com";"sipdir.online.lync.com";"100";"1";"443";"_sip._tls.presentridderkerk.nl";"SRV";"Unicode";"Answer";"62";"1439"
"SRV";"sipdir.online.lync.com";"sipdir.online.lync.com";"100";"1";"443";"_sip._tls.presentsoest.nl";"SRV";"Unicode";"Answer";"62";"1439"
"SRV";"sipdir.online.lync.com";"sipdir.online.lync.com";"100";"1";"443";"_sip._tls.presentsteenwijkerland.nl";"SRV";"Unicode";"Answer";"62";"3599"
"SRV";"sipdir.online.lync.com";"sipdir.online.lync.com";"100";"1";"443";"_sip._tls.presentterneuzen.nl";"SRV";"Unicode";"Answer";"62";"3599"
"SRV";"sipdir.online.lync.com";"sipdir.online.lync.com";"100";"1";"443";"_sip._tls.presentutrecht.nl";"SRV";"Unicode";"Answer";"62";"1439"
"SRV";"sipdir.online.lync.com";"sipdir.online.lync.com";"100";"1";"443";"_sip._tls.presentwoerden.nl";"SRV";"Unicode";"Answer";"62";"3599"
"SRV";"sipdir.online.lync.com";"sipdir.online.lync.com";"100";"1";"443";"_sip._tls.presentzaanstreek.nl";"SRV";"Unicode";"Answer";"62";"1439"
"SRV";"sipdir.online.lync.com";"sipdir.online.lync.com";"100";"1";"443";"_sip._tls.stichtingpresent.nl";"SRV";"Unicode";"Answer";"62";"1439"
