"QueryType";"Target";"NameTarget";"Priority";"Weight";"Port";"Name";"Type";"CharacterSet";"Section";"DataLength";"TTL"
"SRV";"sipfed.online.lync.com";"sipfed.online.lync.com";"100";"1";"5061";"_sipfederationtls._tcp.presentdordrecht.nl";"SRV";"Unicode";"Answer";"62";"3599"
"SRV";"sipfed.online.lync.com";"sipfed.online.lync.com";"100";"1";"5061";"_sipfederationtls._tcp.jongpresent.nl";"SRV";"Unicode";"Answer";"62";"3599"
"SRV";"sipfed.online.lync.com";"sipfed.online.lync.com";"100";"1";"5061";"_sipfederationtls._tcp.presentalkmaar.nl";"SRV";"Unicode";"Answer";"62";"3419"
"SRV";"sipfed.online.lync.com";"sipfed.online.lync.com";"100";"1";"5061";"_sipfederationtls._tcp.presentamersfoort.nl";"SRV";"Unicode";"Answer";"62";"1439"
"SRV";"sipfed.online.lync.com";"sipfed.online.lync.com";"100";"1";"5061";"_sipfederationtls._tcp.presentapeldoorn.nl";"SRV";"Unicode";"Answer";"62";"868"
"SRV";"sipfed.online.lync.com";"sipfed.online.lync.com";"100";"1";"5061";"_sipfederationtls._tcp.presentarnhem.nl";"SRV";"Unicode";"Answer";"62";"868"
"SRV";"sipfed.online.lync.com";"sipfed.online.lync.com";"100";"1";"5061";"_sipfederationtls._tcp.presentbarendrecht.nl";"SRV";"Unicode";"Answer";"62";"1439"
"SRV";"sipfed.online.lync.com";"sipfed.online.lync.com";"100";"1";"5061";"_sipfederationtls._tcp.presentdordrecht.nl";"SRV";"Unicode";"Answer";"62";"3599"
"SRV";"sipfed.online.lync.com";"sipfed.online.lync.com";"100";"1";"5061";"_sipfederationtls._tcp.presentdordrecht-papendrecht.nl";"SRV";"Unicode";"Answer";"62";"3599"
"SRV";"sipfed.online.lync.com";"sipfed.online.lync.com";"100";"1";"5061";"_sipfederationtls._tcp.presentenschede.nl";"SRV";"Unicode";"Answer";"62";"1439"
"SRV";"sipfed.online.lync.com";"sipfed.online.lync.com";"100";"1";"5061";"_sipfederationtls._tcp.presentgouda.nl";"SRV";"Unicode";"Answer";"62";"3599"
"SRV";"sipfed.online.lync.com";"sipfed.online.lync.com";"100";"1";"5061";"_sipfederationtls._tcp.presentgroningen.nl";"SRV";"Unicode";"Answer";"62";"3599"
"SRV";"sipfed.online.lync.com";"sipfed.online.lync.com";"100";"1";"5061";"_sipfederationtls._tcp.presenthaarlem.nl";"SRV";"Unicode";"Answer";"62";"3599"
"SRV";"sipfed.online.lync.com";"sipfed.online.lync.com";"100";"1";"5061";"_sipfederationtls._tcp.presentheerhugowaard-langedijk.nl";"SRV";"Unicode";"Answer";"62";"1439"
"SRV";"sipfed.online.lync.com";"sipfed.online.lync.com";"100";"1";"5061";"_sipfederationtls._tcp.presentkampen.nl";"SRV";"Unicode";"Answer";"62";"1439"
"SRV";"sipfed.online.lync.com";"sipfed.online.lync.com";"100";"1";"5061";"_sipfederationtls._tcp.presentmaassluis.nl";"SRV";"Unicode";"Answer";"62";"3599"
"SRV";"sipfed.online.lync.com";"sipfed.online.lync.com";"100";"1";"5061";"_sipfederationtls._tcp.presentnederland.nl";"SRV";"Unicode";"Answer";"62";"1439"
"SRV";"sipfed.online.lync.com";"sipfed.online.lync.com";"100";"1";"5061";"_sipfederationtls._tcp.presentnijmegen.nl";"SRV";"Unicode";"Answer";"62";"1439"
"SRV";"sipfed.online.lync.com";"sipfed.online.lync.com";"100";"1";"5061";"_sipfederationtls._tcp.presentnwf.nl";"SRV";"Unicode";"Answer";"62";"3599"
"SRV";"sipfed.online.lync.com";"sipfed.online.lync.com";"100";"1";"5061";"_sipfederationtls._tcp.presentpapendrecht.nl";"SRV";"Unicode";"Answer";"62";"3420"
"SRV";"sipfed.online.lync.com";"sipfed.online.lync.com";"100";"1";"5061";"_sipfederationtls._tcp.presentridderkerk.nl";"SRV";"Unicode";"Answer";"62";"1439"
"SRV";"sipfed.online.lync.com";"sipfed.online.lync.com";"100";"1";"5061";"_sipfederationtls._tcp.presentsoest.nl";"SRV";"Unicode";"Answer";"62";"1439"
"SRV";"sipfed.online.lync.com";"sipfed.online.lync.com";"100";"1";"5061";"_sipfederationtls._tcp.presentsteenwijkerland.nl";"SRV";"Unicode";"Answer";"62";"3599"
"SRV";"sipfed.online.lync.com";"sipfed.online.lync.com";"100";"1";"5061";"_sipfederationtls._tcp.presentterneuzen.nl";"SRV";"Unicode";"Answer";"62";"3599"
"SRV";"sipfed.online.lync.com";"sipfed.online.lync.com";"100";"1";"5061";"_sipfederationtls._tcp.presentutrecht.nl";"SRV";"Unicode";"Answer";"62";"1439"
"SRV";"sipfed.online.lync.com";"sipfed.online.lync.com";"100";"1";"5061";"_sipfederationtls._tcp.presentwoerden.nl";"SRV";"Unicode";"Answer";"62";"3599"
"SRV";"sipfed.online.lync.com";"sipfed.online.lync.com";"100";"1";"5061";"_sipfederationtls._tcp.presentzaanstreek.nl";"SRV";"Unicode";"Answer";"62";"1439"
"SRV";"sipfed.online.lync.com";"sipfed.online.lync.com";"100";"1";"5061";"_sipfederationtls._tcp.stichtingpresent.nl";"SRV";"Unicode";"Answer";"62";"1439"
