"QueryType";"Server";"NameHost";"Name";"Type";"CharacterSet";"Section";"DataLength";"TTL"
"CNAME";"autodiscover.outlook.com";"autodiscover.outlook.com";"autodiscover.presentdordrecht.nl";"CNAME";"Unicode";"Answer";"58";"18"
"CNAME";"autod.ha-autod.office.com";"autod.ha-autod.office.com";"autodiscover.outlook.com";"CNAME";"Unicode";"Answer";"60";"18"
"CNAME";"autod.ms-acdc-autod.office.com";"autod.ms-acdc-autod.office.com";"autod.ha-autod.office.com";"CNAME";"Unicode";"Answer";"70";"18"
"A";;;"autod.ms-acdc-autod.office.com";"A";"Unicode";"Answer";"4";"6"
"A";;;"autod.ms-acdc-autod.office.com";"A";"Unicode";"Answer";"4";"6"
"A";;;"autod.ms-acdc-autod.office.com";"A";"Unicode";"Answer";"4";"6"
"A";;;"autod.ms-acdc-autod.office.com";"A";"Unicode";"Answer";"4";"6"
"CNAME";"autodiscover.outlook.com";"autodiscover.outlook.com";"autodiscover.stichtingpresent.nl";"CNAME";"Unicode";"Answer";"58";"55"
"CNAME";"autod.ha-autod.office.com";"autod.ha-autod.office.com";"autodiscover.outlook.com";"CNAME";"Unicode";"Answer";"60";"55"
"CNAME";"autod.ms-acdc-autod.office.com";"autod.ms-acdc-autod.office.com";"autod.ha-autod.office.com";"CNAME";"Unicode";"Answer";"70";"55"
"A";;;"autod.ms-acdc-autod.office.com";"A";"Unicode";"Answer";"4";"5"
"A";;;"autod.ms-acdc-autod.office.com";"A";"Unicode";"Answer";"4";"5"
"A";;;"autod.ms-acdc-autod.office.com";"A";"Unicode";"Answer";"4";"5"
"A";;;"autod.ms-acdc-autod.office.com";"A";"Unicode";"Answer";"4";"5"
"CNAME";"autodiscover.outlook.com";"autodiscover.outlook.com";"autodiscover.presenthaarlem.nl";"CNAME";"Unicode";"Answer";"58";"51"
"CNAME";"autod.ha-autod.office.com";"autod.ha-autod.office.com";"autodiscover.outlook.com";"CNAME";"Unicode";"Answer";"60";"51"
"CNAME";"autod.ms-acdc-autod.office.com";"autod.ms-acdc-autod.office.com";"autod.ha-autod.office.com";"CNAME";"Unicode";"Answer";"70";"51"
"A";;;"autod.ms-acdc-autod.office.com";"A";"Unicode";"Answer";"4";"1"
"A";;;"autod.ms-acdc-autod.office.com";"A";"Unicode";"Answer";"4";"1"
"A";;;"autod.ms-acdc-autod.office.com";"A";"Unicode";"Answer";"4";"1"
"A";;;"autod.ms-acdc-autod.office.com";"A";"Unicode";"Answer";"4";"1"
"CNAME";"autodiscover.outlook.com";"autodiscover.outlook.com";"autodiscover.presentmaassluis.nl";"CNAME";"Unicode";"Answer";"58";"53"
"CNAME";"autod.ha-autod.office.com";"autod.ha-autod.office.com";"autodiscover.outlook.com";"CNAME";"Unicode";"Answer";"60";"53"
"CNAME";"autod.ms-acdc-autod.office.com";"autod.ms-acdc-autod.office.com";"autod.ha-autod.office.com";"CNAME";"Unicode";"Answer";"70";"53"
"A";;;"autod.ms-acdc-autod.office.com";"A";"Unicode";"Answer";"4";"3"
"A";;;"autod.ms-acdc-autod.office.com";"A";"Unicode";"Answer";"4";"3"
"A";;;"autod.ms-acdc-autod.office.com";"A";"Unicode";"Answer";"4";"3"
"A";;;"autod.ms-acdc-autod.office.com";"A";"Unicode";"Answer";"4";"3"
"CNAME";"autodiscover.outlook.com";"autodiscover.outlook.com";"autodiscover.presentpapendrecht.nl";"CNAME";"Unicode";"Answer";"58";"45"
"CNAME";"autod.ha-autod.office.com";"autod.ha-autod.office.com";"autodiscover.outlook.com";"CNAME";"Unicode";"Answer";"60";"45"
"CNAME";"autod.ms-acdc-autod.office.com";"autod.ms-acdc-autod.office.com";"autod.ha-autod.office.com";"CNAME";"Unicode";"Answer";"70";"45"
"A";;;"autod.ms-acdc-autod.office.com";"A";"Unicode";"Answer";"4";"4"
"A";;;"autod.ms-acdc-autod.office.com";"A";"Unicode";"Answer";"4";"4"
"A";;;"autod.ms-acdc-autod.office.com";"A";"Unicode";"Answer";"4";"4"
"A";;;"autod.ms-acdc-autod.office.com";"A";"Unicode";"Answer";"4";"4"
"CNAME";"autodiscover.outlook.com";"autodiscover.outlook.com";"autodiscover.presentnederland.nl";"CNAME";"Unicode";"Answer";"58";"59"
"CNAME";"autod.ha-autod.office.com";"autod.ha-autod.office.com";"autodiscover.outlook.com";"CNAME";"Unicode";"Answer";"60";"59"
"CNAME";"autod.ms-acdc-autod.office.com";"autod.ms-acdc-autod.office.com";"autod.ha-autod.office.com";"CNAME";"Unicode";"Answer";"70";"59"
"A";;;"autod.ms-acdc-autod.office.com";"A";"Unicode";"Answer";"4";"9"
"A";;;"autod.ms-acdc-autod.office.com";"A";"Unicode";"Answer";"4";"9"
"A";;;"autod.ms-acdc-autod.office.com";"A";"Unicode";"Answer";"4";"9"
"A";;;"autod.ms-acdc-autod.office.com";"A";"Unicode";"Answer";"4";"9"
"CNAME";"autodiscover.outlook.com";"autodiscover.outlook.com";"autodiscover.presentdordrecht-papendrecht.nl";"CNAME";"Unicode";"Answer";"58";"51"
"CNAME";"autod.ha-autod.office.com";"autod.ha-autod.office.com";"autodiscover.outlook.com";"CNAME";"Unicode";"Answer";"60";"51"
"CNAME";"autod.ms-acdc-autod.office.com";"autod.ms-acdc-autod.office.com";"autod.ha-autod.office.com";"CNAME";"Unicode";"Answer";"70";"51"
"A";;;"autod.ms-acdc-autod.office.com";"A";"Unicode";"Answer";"4";"1"
"A";;;"autod.ms-acdc-autod.office.com";"A";"Unicode";"Answer";"4";"1"
"A";;;"autod.ms-acdc-autod.office.com";"A";"Unicode";"Answer";"4";"1"
"A";;;"autod.ms-acdc-autod.office.com";"A";"Unicode";"Answer";"4";"1"
"CNAME";"autodiscover.outlook.com";"autodiscover.outlook.com";"autodiscover.jongpresent.nl";"CNAME";"Unicode";"Answer";"58";"59"
"CNAME";"autod.ha-autod.office.com";"autod.ha-autod.office.com";"autodiscover.outlook.com";"CNAME";"Unicode";"Answer";"60";"59"
"CNAME";"autod.ms-acdc-autod.office.com";"autod.ms-acdc-autod.office.com";"autod.ha-autod.office.com";"CNAME";"Unicode";"Answer";"70";"59"
"A";;;"autod.ms-acdc-autod.office.com";"A";"Unicode";"Answer";"4";"9"
"A";;;"autod.ms-acdc-autod.office.com";"A";"Unicode";"Answer";"4";"9"
"A";;;"autod.ms-acdc-autod.office.com";"A";"Unicode";"Answer";"4";"9"
"A";;;"autod.ms-acdc-autod.office.com";"A";"Unicode";"Answer";"4";"9"
