"QueryType";"Server";"NameHost";"Name";"Type";"CharacterSet";"Section";"DataLength";"TTL"
"CNAME";"enterpriseenrollment.manage.microsoft.com";"enterpriseenrollment.manage.microsoft.com";"enterpriseenrollment.presentdordrecht.nl";"CNAME";"Unicode";"Answer";"92";"59"
"CNAME";"manage-pe.trafficmanager.net";"manage-pe.trafficmanager.net";"enterpriseenrollment.manage.microsoft.com";"CNAME";"Unicode";"Answer";"66";"59"
"CNAME";"peproxyfeeu01.cloudapp.net";"peproxyfeeu01.cloudapp.net";"manage-pe.trafficmanager.net";"CNAME";"Unicode";"Answer";"62";"59"
"A";;;"peproxyfeeu01.cloudapp.net";"A";"Unicode";"Answer";"4";"9"
"CNAME";"enterpriseenrollment.manage.microsoft.com";"enterpriseenrollment.manage.microsoft.com";"enterpriseenrollment.stichtingpresent.nl";"CNAME";"Unicode";"Answer";"92";"59"
"CNAME";"manage-pe.trafficmanager.net";"manage-pe.trafficmanager.net";"enterpriseenrollment.manage.microsoft.com";"CNAME";"Unicode";"Answer";"66";"59"
"CNAME";"peproxyfeeu02.cloudapp.net";"peproxyfeeu02.cloudapp.net";"manage-pe.trafficmanager.net";"CNAME";"Unicode";"Answer";"62";"59"
"A";;;"peproxyfeeu02.cloudapp.net";"A";"Unicode";"Answer";"4";"9"
"CNAME";"enterpriseenrollment.manage.microsoft.com";"enterpriseenrollment.manage.microsoft.com";"enterpriseenrollment.presenthaarlem.nl";"CNAME";"Unicode";"Answer";"92";"59"
"CNAME";"manage-pe.trafficmanager.net";"manage-pe.trafficmanager.net";"enterpriseenrollment.manage.microsoft.com";"CNAME";"Unicode";"Answer";"66";"59"
"CNAME";"peproxyfeeu01.cloudapp.net";"peproxyfeeu01.cloudapp.net";"manage-pe.trafficmanager.net";"CNAME";"Unicode";"Answer";"62";"59"
"A";;;"peproxyfeeu01.cloudapp.net";"A";"Unicode";"Answer";"4";"9"
"CNAME";"enterpriseenrollment.manage.microsoft.com";"enterpriseenrollment.manage.microsoft.com";"enterpriseenrollment.presentmaassluis.nl";"CNAME";"Unicode";"Answer";"92";"59"
"CNAME";"manage-pe.trafficmanager.net";"manage-pe.trafficmanager.net";"enterpriseenrollment.manage.microsoft.com";"CNAME";"Unicode";"Answer";"66";"59"
"CNAME";"peproxyfeeu02.cloudapp.net";"peproxyfeeu02.cloudapp.net";"manage-pe.trafficmanager.net";"CNAME";"Unicode";"Answer";"62";"59"
"A";;;"peproxyfeeu02.cloudapp.net";"A";"Unicode";"Answer";"4";"9"
"CNAME";"enterpriseenrollment.manage.microsoft.com";"enterpriseenrollment.manage.microsoft.com";"enterpriseenrollment.presentpapendrecht.nl";"CNAME";"Unicode";"Answer";"92";"59"
"CNAME";"manage-pe.trafficmanager.net";"manage-pe.trafficmanager.net";"enterpriseenrollment.manage.microsoft.com";"CNAME";"Unicode";"Answer";"66";"59"
"CNAME";"peproxyfeeu02.cloudapp.net";"peproxyfeeu02.cloudapp.net";"manage-pe.trafficmanager.net";"CNAME";"Unicode";"Answer";"62";"59"
"A";;;"peproxyfeeu02.cloudapp.net";"A";"Unicode";"Answer";"4";"9"
"CNAME";"enterpriseenrollment.manage.microsoft.com";"enterpriseenrollment.manage.microsoft.com";"enterpriseenrollment.presentnederland.nl";"CNAME";"Unicode";"Answer";"92";"59"
"CNAME";"manage-pe.trafficmanager.net";"manage-pe.trafficmanager.net";"enterpriseenrollment.manage.microsoft.com";"CNAME";"Unicode";"Answer";"66";"59"
"CNAME";"peproxyfeeu02.cloudapp.net";"peproxyfeeu02.cloudapp.net";"manage-pe.trafficmanager.net";"CNAME";"Unicode";"Answer";"62";"59"
"A";;;"peproxyfeeu02.cloudapp.net";"A";"Unicode";"Answer";"4";"9"
"CNAME";"enterpriseenrollment.manage.microsoft.com";"enterpriseenrollment.manage.microsoft.com";"enterpriseenrollment.presentdordrecht-papendrecht.nl";"CNAME";"Unicode";"Answer";"92";"59"
"CNAME";"manage-pe.trafficmanager.net";"manage-pe.trafficmanager.net";"enterpriseenrollment.manage.microsoft.com";"CNAME";"Unicode";"Answer";"66";"59"
"CNAME";"peproxyfeeu01.cloudapp.net";"peproxyfeeu01.cloudapp.net";"manage-pe.trafficmanager.net";"CNAME";"Unicode";"Answer";"62";"59"
"A";;;"peproxyfeeu01.cloudapp.net";"A";"Unicode";"Answer";"4";"9"
"CNAME";"enterpriseenrollment.manage.microsoft.com";"enterpriseenrollment.manage.microsoft.com";"enterpriseenrollment.jongpresent.nl";"CNAME";"Unicode";"Answer";"92";"59"
"CNAME";"manage-pe.trafficmanager.net";"manage-pe.trafficmanager.net";"enterpriseenrollment.manage.microsoft.com";"CNAME";"Unicode";"Answer";"66";"59"
"CNAME";"peproxyfeeu02.cloudapp.net";"peproxyfeeu02.cloudapp.net";"manage-pe.trafficmanager.net";"CNAME";"Unicode";"Answer";"62";"59"
"A";;;"peproxyfeeu02.cloudapp.net";"A";"Unicode";"Answer";"4";"9"
"CNAME";"enterpriseenrollment.manage.microsoft.com";"enterpriseenrollment.manage.microsoft.com";"enterpriseenrollment.presentdordrecht.nl";"CNAME";"Unicode";"Answer";"92";"58"
"CNAME";"manage-pe.trafficmanager.net";"manage-pe.trafficmanager.net";"enterpriseenrollment.manage.microsoft.com";"CNAME";"Unicode";"Answer";"66";"58"
"CNAME";"peproxyfeeu01.cloudapp.net";"peproxyfeeu01.cloudapp.net";"manage-pe.trafficmanager.net";"CNAME";"Unicode";"Answer";"62";"58"
"A";;;"peproxyfeeu01.cloudapp.net";"A";"Unicode";"Answer";"4";"8"
