"QueryType";"Server";"NameHost";"Name";"Type";"CharacterSet";"Section";"DataLength";"TTL"
"CNAME";"enterpriseregistration.windows.net";"enterpriseregistration.windows.net";"enterpriseregistration.presentdordrecht.nl";"CNAME";"Unicode";"Answer";"78";"3599"
"CNAME";"enterpriseregistration.windows.net";"enterpriseregistration.windows.net";"enterpriseregistration.jongpresent.nl";"CNAME";"Unicode";"Answer";"78";"3599"
"CNAME";"enterpriseregistration.windows.net";"enterpriseregistration.windows.net";"enterpriseregistration.presentalkmaar.nl";"CNAME";"Unicode";"Answer";"78";"3599"
"CNAME";"enterpriseregistration.windows.net";"enterpriseregistration.windows.net";"enterpriseregistration.presentamersfoort.nl";"CNAME";"Unicode";"Answer";"78";"1439"
"CNAME";"enterpriseregistration.windows.net";"enterpriseregistration.windows.net";"enterpriseregistration.presentamsterdam.nl";"CNAME";"Unicode";"Answer";"78";"1439"
"CNAME";"enterpriseregistration.windows.net";"enterpriseregistration.windows.net";"enterpriseregistration.presentarnhem.nl";"CNAME";"Unicode";"Answer";"78";"1439"
"CNAME";"enterpriseregistration.windows.net";"enterpriseregistration.windows.net";"enterpriseregistration.presentbarendrecht.nl";"CNAME";"Unicode";"Answer";"78";"1439"
"CNAME";"enterpriseregistration.windows.net";"enterpriseregistration.windows.net";"enterpriseregistration.presentdenhaag.nl";"CNAME";"Unicode";"Answer";"78";"1439"
"CNAME";"enterpriseregistration.windows.net";"enterpriseregistration.windows.net";"enterpriseregistration.presentdordrecht.nl";"CNAME";"Unicode";"Answer";"78";"3599"
"CNAME";"enterpriseregistration.windows.net";"enterpriseregistration.windows.net";"enterpriseregistration.presentdordrecht-papendrecht.nl";"CNAME";"Unicode";"Answer";"78";"3599"
"CNAME";"enterpriseregistration.windows.net";"enterpriseregistration.windows.net";"enterpriseregistration.presentgouda.nl";"CNAME";"Unicode";"Answer";"78";"3599"
"CNAME";"enterpriseregistration.windows.net";"enterpriseregistration.windows.net";"enterpriseregistration.presentgroningen.nl";"CNAME";"Unicode";"Answer";"78";"3599"
"CNAME";"enterpriseregistration.windows.net";"enterpriseregistration.windows.net";"enterpriseregistration.presenthaarlem.nl";"CNAME";"Unicode";"Answer";"78";"3599"
"CNAME";"enterpriseregistration.windows.net";"enterpriseregistration.windows.net";"enterpriseregistration.presentheerhugowaard-langedijk.nl";"CNAME";"Unicode";"Answer";"78";"1439"
"CNAME";"enterpriseregistration.windows.net";"enterpriseregistration.windows.net";"enterpriseregistration.presentkampen.nl";"CNAME";"Unicode";"Answer";"78";"1439"
"CNAME";"enterpriseregistration.windows.net";"enterpriseregistration.windows.net";"enterpriseregistration.presentmaassluis.nl";"CNAME";"Unicode";"Answer";"78";"3599"
"CNAME";"enterpriseregistration.windows.net";"enterpriseregistration.windows.net";"enterpriseregistration.presentnederland.nl";"CNAME";"Unicode";"Answer";"78";"1439"
"CNAME";"enterpriseregistration.windows.net";"enterpriseregistration.windows.net";"enterpriseregistration.presentnijmegen.nl";"CNAME";"Unicode";"Answer";"78";"1439"
"CNAME";"enterpriseregistration.windows.net";"enterpriseregistration.windows.net";"enterpriseregistration.presentnwf.nl";"CNAME";"Unicode";"Answer";"78";"3599"
"CNAME";"enterpriseregistration.windows.net";"enterpriseregistration.windows.net";"enterpriseregistration.presentpapendrecht.nl";"CNAME";"Unicode";"Answer";"78";"3599"
"CNAME";"enterpriseregistration.windows.net";"enterpriseregistration.windows.net";"enterpriseregistration.presentsoest.nl";"CNAME";"Unicode";"Answer";"78";"1439"
"CNAME";"enterpriseregistration.windows.net";"enterpriseregistration.windows.net";"enterpriseregistration.presentsteenwijkerland.nl";"CNAME";"Unicode";"Answer";"78";"3599"
"CNAME";"enterpriseregistration.windows.net";"enterpriseregistration.windows.net";"enterpriseregistration.presentterneuzen.nl";"CNAME";"Unicode";"Answer";"78";"3599"
"CNAME";"enterpriseregistration.windows.net";"enterpriseregistration.windows.net";"enterpriseregistration.presentwoerden.nl";"CNAME";"Unicode";"Answer";"78";"3599"
"CNAME";"enterpriseregistration.windows.net";"enterpriseregistration.windows.net";"enterpriseregistration.presentzaanstreek.nl";"CNAME";"Unicode";"Answer";"78";"1439"
"CNAME";"enterpriseregistration.windows.net";"enterpriseregistration.windows.net";"enterpriseregistration.presentzwolle.nl";"CNAME";"Unicode";"Answer";"78";"1439"
"CNAME";"enterpriseregistration.windows.net";"enterpriseregistration.windows.net";"enterpriseregistration.stichtingpresent.nl";"CNAME";"Unicode";"Answer";"78";"1439"
