"QueryType";"Server";"NameHost";"Name";"Type";"CharacterSet";"Section";"DataLength";"TTL"
"CNAME";"webdir.online.lync.com";"webdir.online.lync.com";"lyncdiscover.presentdordrecht.nl";"CNAME";"Unicode";"Answer";"54";"3334"
"A";;;"webdir.online.lync.com";"A";"Unicode";"Answer";"4";"11"
"CNAME";"webdir.online.lync.com";"webdir.online.lync.com";"lyncdiscover.stichtingpresent.nl";"CNAME";"Unicode";"Answer";"54";"1439"
"A";;;"webdir.online.lync.com";"A";"Unicode";"Answer";"4";"29"
"CNAME";"webdir.online.lync.com";"webdir.online.lync.com";"lyncdiscover.presenthaarlem.nl";"CNAME";"Unicode";"Answer";"54";"3599"
"A";;;"webdir.online.lync.com";"A";"Unicode";"Answer";"4";"29"
"CNAME";"webdir.online.lync.com";"webdir.online.lync.com";"lyncdiscover.presentmaassluis.nl";"CNAME";"Unicode";"Answer";"54";"3599"
"A";;;"webdir.online.lync.com";"A";"Unicode";"Answer";"4";"29"
"CNAME";"webdir.online.lync.com";"webdir.online.lync.com";"lyncdiscover.presentpapendrecht.nl";"CNAME";"Unicode";"Answer";"54";"3599"
"A";;;"webdir.online.lync.com";"A";"Unicode";"Answer";"4";"29"
"CNAME";"webdir.online.lync.com";"webdir.online.lync.com";"lyncdiscover.presentnederland.nl";"CNAME";"Unicode";"Answer";"54";"1439"
"A";;;"webdir.online.lync.com";"A";"Unicode";"Answer";"4";"29"
"CNAME";"webdir.online.lync.com";"webdir.online.lync.com";"lyncdiscover.presentdordrecht-papendrecht.nl";"CNAME";"Unicode";"Answer";"54";"3599"
"A";;;"webdir.online.lync.com";"A";"Unicode";"Answer";"4";"29"
"CNAME";"webdir.online.lync.com";"webdir.online.lync.com";"lyncdiscover.jongpresent.nl";"CNAME";"Unicode";"Answer";"54";"3599"
"A";;;"webdir.online.lync.com";"A";"Unicode";"Answer";"4";"29"
"CNAME";"webdir.online.lync.com";"webdir.online.lync.com";"lyncdiscover.presentdordrecht.nl";"CNAME";"Unicode";"Answer";"54";"3333"
"A";;;"webdir.online.lync.com";"A";"Unicode";"Answer";"4";"10"
