"Address";"IPAddress";"QueryType";"IP4Address";"Name";"Type";"CharacterSet";"Section";"DataLength";"TTL"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentdordrecht.nl";"A";"Unicode";"Answer";"4";"3599"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.fannoot.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.gezinnenpresent.nl";"A";"Unicode";"Answer";"4";"1439"
"99.83.175.80";"99.83.175.80";"A";"99.83.175.80";"mail.nonstoppresent.nl";"A";"Unicode";"Answer";"4";"3599"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentaalten-dinxperlo.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentachterhoek.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentalkmaar.nl";"A";"Unicode";"Answer";"4";"3031"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentalmere.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentamersfoort.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentamsterdam.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentapeldoorn.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentarnhem.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentassen.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentbarendrecht.nl";"A";"Unicode";"Answer";"4";"1261"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentbarneveld.nl";"A";"Unicode";"Answer";"4";"870"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentbollenstreek.nl";"A";"Unicode";"Answer";"4";"1439"
"185.182.56.61";"185.182.56.61";"A";"185.182.56.61";"mail.presentbreda.nl";"A";"Unicode";"Answer";"4";"13830"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentbronckhorst.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentculemborg.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentdebevelanden.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentdefryskemarren.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentdelft.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentdenhaag.nl";"A";"Unicode";"Answer";"4";"1262"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentdenhelder.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentdeventer.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentdewalden.nl";"A";"Unicode";"Answer";"4";"1262"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentdfm.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentdoetinchem.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentdordrecht.nl";"A";"Unicode";"Answer";"4";"3599"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentdordrecht-papendrecht.nl";"A";"Unicode";"Answer";"4";"3599"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentede.nl";"A";"Unicode";"Answer";"4";"1439"
