"Address";"IPAddress";"QueryType";"IP4Address";"Name";"Type";"CharacterSet";"Section";"DataLength";"TTL"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presentdordrecht.nl";"A";"Unicode";"Answer";"4";"3599"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.fannoot.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.gezinnenpresent.nl";"A";"Unicode";"Answer";"4";"1439"
"99.83.175.80";"99.83.175.80";"A";"99.83.175.80";"pop.nonstoppresent.nl";"A";"Unicode";"Answer";"4";"3599"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presentaalten-dinxperlo.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presentachterhoek.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presentalkmaar.nl";"A";"Unicode";"Answer";"4";"3599"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presentalmelo.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presentalmere.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presentamersfoort.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presentamsterdam.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presentapeldoorn.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presentarnhem.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presentassen.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presentbarendrecht.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presentbarneveld.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presentbollenstreek.nl";"A";"Unicode";"Answer";"4";"1439"
"185.182.56.61";"185.182.56.61";"A";"185.182.56.61";"pop.presentbreda.nl";"A";"Unicode";"Answer";"4";"14399"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presentbronckhorst.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presentculemborg.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presentdebevelanden.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presentdefryskemarren.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presentdelft.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presentdenhaag.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presentdenhelder.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presentdeventer.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presentdewalden.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presentdfm.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presentdoetinchem.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presentdordrecht.nl";"A";"Unicode";"Answer";"4";"3599"
"185.182.57.161";"185.182.57.161";"A";"185.182.57.161";"pop.presentdordrecht-papendrecht.nl";"A";"Unicode";"Answer";"4";"3599"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presentede.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presenteindhoven.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presentelburg.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presentemmen.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presentenschede.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presentepe-heerde.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presentermelo.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presentfraneker.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presentfryslan.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presentgeldermalsen.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presentgouda.nl";"A";"Unicode";"Answer";"4";"3599"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presentgroningen.nl";"A";"Unicode";"Answer";"4";"3599"
"185.182.57.161";"185.182.57.161";"A";"185.182.57.161";"pop.presenthaarlem.nl";"A";"Unicode";"Answer";"4";"3599"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presenthaarlemmermeer.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presenthardenberg.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"pop.presentharderwijk.nl";"A";"Unicode";"Answer";"4";"1439"
