"QueryType";"Server";"NameHost";"Name";"Type";"CharacterSet";"Section";"DataLength";"TTL"
"CNAME";"sipdir.online.lync.com";"sipdir.online.lync.com";"sip.presentdordrecht.nl";"CNAME";"Unicode";"Answer";"54";"3599"
"CNAME";"sipdir.online.lync.com";"sipdir.online.lync.com";"sip.jongpresent.nl";"CNAME";"Unicode";"Answer";"54";"3599"
"CNAME";"sipdir.online.lync.com";"sipdir.online.lync.com";"sip.presentalkmaar.nl";"CNAME";"Unicode";"Answer";"54";"3599"
"CNAME";"sipdir.online.lync.com";"sipdir.online.lync.com";"sip.presentamersfoort.nl";"CNAME";"Unicode";"Answer";"54";"1439"
"CNAME";"sipdir.online.lync.com";"sipdir.online.lync.com";"sip.presentamsterdam.nl";"CNAME";"Unicode";"Answer";"54";"1439"
"CNAME";"sipdir.online.lync.com";"sipdir.online.lync.com";"sip.presentapeldoorn.nl";"CNAME";"Unicode";"Answer";"54";"1439"
"CNAME";"sipdir.online.lync.com";"sipdir.online.lync.com";"sip.presentarnhem.nl";"CNAME";"Unicode";"Answer";"54";"1439"
"CNAME";"sipdir.online.lync.com";"sipdir.online.lync.com";"sip.presentbarendrecht.nl";"CNAME";"Unicode";"Answer";"54";"1439"
"CNAME";"sipdir.online.lync.com";"sipdir.online.lync.com";"sip.presentdordrecht.nl";"CNAME";"Unicode";"Answer";"54";"3599"
"CNAME";"sipdir.online.lync.com";"sipdir.online.lync.com";"sip.presentdordrecht-papendrecht.nl";"CNAME";"Unicode";"Answer";"54";"3599"
"CNAME";"sipdir.online.lync.com";"sipdir.online.lync.com";"sip.presentenschede.nl";"CNAME";"Unicode";"Answer";"54";"1439"
"CNAME";"sipdir.online.lync.com";"sipdir.online.lync.com";"sip.presentgouda.nl";"CNAME";"Unicode";"Answer";"54";"3599"
"CNAME";"sipdir.online.lync.com";"sipdir.online.lync.com";"sip.presentgroningen.nl";"CNAME";"Unicode";"Answer";"54";"3599"
"CNAME";"sipdir.online.lync.com";"sipdir.online.lync.com";"sip.presenthaarlem.nl";"CNAME";"Unicode";"Answer";"54";"3599"
"CNAME";"sipdir.online.lync.com";"sipdir.online.lync.com";"sip.presentheerhugowaard-langedijk.nl";"CNAME";"Unicode";"Answer";"54";"1439"
"CNAME";"sipdir.online.lync.com";"sipdir.online.lync.com";"sip.presentkampen.nl";"CNAME";"Unicode";"Answer";"54";"1439"
"CNAME";"sipdir.online.lync.com";"sipdir.online.lync.com";"sip.presentmaassluis.nl";"CNAME";"Unicode";"Answer";"54";"3599"
"CNAME";"sipdir.online.lync.com";"sipdir.online.lync.com";"sip.presentnederland.nl";"CNAME";"Unicode";"Answer";"54";"1439"
"CNAME";"sipdir.online.lync.com";"sipdir.online.lync.com";"sip.presentnijmegen.nl";"CNAME";"Unicode";"Answer";"54";"1439"
"CNAME";"sipdir.online.lync.com";"sipdir.online.lync.com";"sip.presentnwf.nl";"CNAME";"Unicode";"Answer";"54";"3599"
"CNAME";"sipdir.online.lync.com";"sipdir.online.lync.com";"sip.presentpapendrecht.nl";"CNAME";"Unicode";"Answer";"54";"3599"
"CNAME";"sipdir.online.lync.com";"sipdir.online.lync.com";"sip.presentridderkerk.nl";"CNAME";"Unicode";"Answer";"54";"1439"
"CNAME";"sipdir.online.lync.com";"sipdir.online.lync.com";"sip.presentsoest.nl";"CNAME";"Unicode";"Answer";"54";"1439"
"CNAME";"sipdir.online.lync.com";"sipdir.online.lync.com";"sip.presentsteenwijkerland.nl";"CNAME";"Unicode";"Answer";"54";"3599"
"CNAME";"sipdir.online.lync.com";"sipdir.online.lync.com";"sip.presentterneuzen.nl";"CNAME";"Unicode";"Answer";"54";"3599"
"CNAME";"sipdir.online.lync.com";"sipdir.online.lync.com";"sip.presentutrecht.nl";"CNAME";"Unicode";"Answer";"54";"1439"
"CNAME";"sipdir.online.lync.com";"sipdir.online.lync.com";"sip.presentwoerden.nl";"CNAME";"Unicode";"Answer";"54";"3599"
"CNAME";"sipdir.online.lync.com";"sipdir.online.lync.com";"sip.presentzaanstreek.nl";"CNAME";"Unicode";"Answer";"54";"1439"
"CNAME";"sipdir.online.lync.com";"sipdir.online.lync.com";"sip.presentzwolle.nl";"CNAME";"Unicode";"Answer";"54";"1439"
"CNAME";"sipdir.online.lync.com";"sipdir.online.lync.com";"sip.stichtingpresent.nl";"CNAME";"Unicode";"Answer";"54";"1439"
