"QueryType";"Text";"Strings";"Name";"Type";"CharacterSet";"Section";"DataLength";"TTL"
"TXT";"System.String[]";"System.String[]";"x._domainkey.presentdordrecht.nl";"TXT";"Unicode";"Answer";"32";"3424"
"TXT";"System.String[]";"System.String[]";"x._domainkey.jongpresent.nl";"TXT";"Unicode";"Answer";"32";"3599"
"TXT";"System.String[]";"System.String[]";"x._domainkey.presentalkmaar.nl";"TXT";"Unicode";"Answer";"32";"3599"
"TXT";"System.String[]";"System.String[]";"x._domainkey.presentbreda.nl";"TXT";"Unicode";"Answer";"32";"14399"
"TXT";"System.String[]";"System.String[]";"x._domainkey.presentdordrecht.nl";"TXT";"Unicode";"Answer";"32";"3422"
"TXT";"System.String[]";"System.String[]";"x._domainkey.presentdordrecht-papendrecht.nl";"TXT";"Unicode";"Answer";"32";"3599"
"TXT";"System.String[]";"System.String[]";"x._domainkey.presentgouda.nl";"TXT";"Unicode";"Answer";"32";"3599"
"TXT";"System.String[]";"System.String[]";"x._domainkey.presentgroningen.nl";"TXT";"Unicode";"Answer";"32";"3599"
"TXT";"System.String[]";"System.String[]";"x._domainkey.presenthaarlem.nl";"TXT";"Unicode";"Answer";"32";"3599"
"TXT";"System.String[]";"System.String[]";"x._domainkey.presentmaassluis.nl";"TXT";"Unicode";"Answer";"32";"3599"
"TXT";"System.String[]";"System.String[]";"x._domainkey.presentnwf.nl";"TXT";"Unicode";"Answer";"32";"3599"
"TXT";"System.String[]";"System.String[]";"x._domainkey.presentpapendrecht.nl";"TXT";"Unicode";"Answer";"32";"3599"
"TXT";"System.String[]";"System.String[]";"x._domainkey.presentsteenwijkerland.nl";"TXT";"Unicode";"Answer";"32";"3599"
"TXT";"System.String[]";"System.String[]";"x._domainkey.presentterneuzen.nl";"TXT";"Unicode";"Answer";"32";"3599"
"TXT";"System.String[]";"System.String[]";"x._domainkey.presentwoerden.nl";"TXT";"Unicode";"Answer";"32";"3421"
